Data Sources 2012-13 for http://jackdougherty.github.io/otl-metromerger,,,,,
"last updated October 2015 by Jack Dougherty, Trinity College, Hartford CT",,,,,
,,,,,
"PopACS2013: Population from American Community Survey, 5-year estimate (2009-13), US Census via Social Explorer (http://socialexplorer.com)",,,,,
"IncomePerCapACS2013: Income per capita (adults and children), American Community Survey, 5-year estimate (2009-13), US Census via Social Explorer (http://socialexplorer.com)",,,,,
IncomeTotalACS2013: IncomePerCap * Population (used for merger calculations),,,,,
"ENGLY2012: Equalized Net Grand List (full-value estimate of all taxable property: residential, commercial, industrial, vacant land), 2012 Grand List, Connecticut Office of Policy and Management (OPM), http://www.ct.gov/opm/cwp/view.asp?a=2987&q=385970&opmNav_GID=1807",,,,,
PerCapENGL2012: ENGLY2012 / Population,,,,,
"Note: Only 3 data columns are necessary (Pop, IncomeTotal, ENGLY) when joining town data to polygons to create geojson file (data.js)",,,,,
,,,,,
Town,PopACS2013,IncomePerCapACS2013,IncomeTotalACS2013,ENGLY2012,PerCapENGLY2012
Old Saybrook,10258,44150,452890700,2994856250,291953
Orange,13934,48101,670239334,2704439983,194089
Oxford,12736,42719,544069184,2060045317,161750
Plainfield,15320,26896,412046720,1194642329,77979
Plainville,17767,32531,577978277,1884896086,106090
Plymouth,12148,30527,370841996,1029418266,84740
Pomfret,4219,38733,163414527,424281528,100564
Portland,9487,42569,403852103,1123640030,118440
Preston,4751,33599,159628849,545559501,114830
Prospect,9520,37951,361293520,1192847706,125299
Putnam,9548,24092,230030416,789672372,82706
Redding,9207,60405,556148835,2323953484,252412
Ridgefield,24831,77027,1912657437,6598704716,265745
Rocky Hill,19743,42229,833727147,2784951675,141060
Roxbury,2301,61595,141730095,991561414,430926
Salem,4173,40877,170579721,489335928,117262
Salisbury,3722,51106,190216532,1569991945,421814
Scotland,1739,29592,51460488,153397640,88210
Seymour,16535,33667,556683845,1663013492,100575
Sharon,2769,52725,145995525,985900864,356049
Shelton,40006,41679,1667410074,6470363305,161735
Sherman,3627,59178,214638606,970811488,267662
Simsbury,23591,56673,1336972743,3192698507,135335
Somers,11447,33700,385763900,1110037653,96972
South Windsor,25756,41398,1066246888,3525312497,136873
Southbury,19864,43058,855304112,3000056220,151030
Southington,43288,38046,1646935248,5286801017,122131
Sprague,2986,29898,89275428,234574730,78558
Stafford,12035,28339,341059865,1046410611,86947
Stamford,123995,43647,5412009765,27068336287,218302
Sterling,3801,26472,100620072,320405687,84295
Stonington,18527,44787,829768749,3708545647,200170
Stratford,51694,34215,1768710210,6517575795,126080
Suffield,15731,38398,604038938,1948350556,123854
Thomaston,7831,33870,265235970,751015892,95903
Thompson,9411,31898,300192078,813723910,86465
Tolland,14977,43846,656681542,1779999108,118849
Torrington,36061,28899,1042126839,2999332916,83174
Trumbull,36251,44571,1615743321,6635054926,183031
Union,1041,33647,35026527,125904473,120946
Vernon,29179,35361,1031798619,2402677895,82343
Voluntown,2608,33579,87574032,268254971,102859
Wallingford,45112,36306,1637836272,6075318040,134672
Warren,1475,52866,77977350,489722357,332015
Washington,3562,55826,198852212,1527331924,428785
Waterbury,110052,21120,2324298240,5758088707,52322
Waterford,19508,39042,761631336,4533877854,232411
Watertown,22387,37140,831453180,2460853869,109923
West Hartford,63340,47485,3007699900,9035908810,142657
West Haven,55349,26602,1472394098,3920079059,70825
Westbrook,6922,41130,284701860,1628977476,235333
Weston,10261,90552,929154072,3587402584,349615
Westport,26769,91226,2442028794,14803064448,552993
Wethersfield,26590,39587,1052618330,3147128675,118358
Willington,6018,34916,210124488,629316327,104572
Wilton,18353,77526,1422834678,6054409014,329887
Winchester,11150,29382,327609300,983598186,88215
Windham,25315,20297,513818555,1191547481,47069
Windsor,29100,35857,1043438700,4026160993,138356
Windsor Locks,12531,35933,450276423,1833714636,146334
Wolcott,16688,35884,598832192,1846423677,110644
Woodbridge,8981,63756,572592636,1693844166,188603
Woodbury,9910,44474,440737340,1491656595,150520
Woodstock,7932,38391,304517412,937571433,118201
